gene_KO_number,pathway_id, pathway_url, KGML
K15737,No pathway found,
K15738,No pathway found,
K15735,No pathway found,
K15736,No pathway found,
K02411,ko02040  - Flagellar assembly,http://www.genome.jp/kegg-bin/show_pathway?ko02040+K02411,No KGML found,
K02895,ko03010  - Ribosome,http://www.genome.jp/kegg-bin/show_pathway?ko03010+K02895,
K02410,ko02030  - Bacterial chemotaxis,http://www.genome.jp/kegg-bin/show_pathway?ko02030+K02410,No KGML found,
K02410,ko02040  - Flagellar assembly,http://www.genome.jp/kegg-bin/show_pathway?ko02040+K02410,No KGML found,
K00230,ko00860  - Porphyrin and chlorophyll metabolism,http://www.genome.jp/kegg-bin/show_pathway?ko00860+K00230,
K02892,ko03010  - Ribosome,http://www.genome.jp/kegg-bin/show_pathway?ko03010+K02892,
K02890,ko03010  - Ribosome,http://www.genome.jp/kegg-bin/show_pathway?ko03010+K02890,
K02419,ko02040  - Flagellar assembly,http://www.genome.jp/kegg-bin/show_pathway?ko02040+K02419,No KGML found,
K02418,ko02040  - Flagellar assembly,http://www.genome.jp/kegg-bin/show_pathway?ko02040+K02418,No KGML found,
K03749,No pathway found,
K02417,ko02030  - Bacterial chemotaxis,http://www.genome.jp/kegg-bin/show_pathway?ko02030+K02417,No KGML found,
K02417,ko02040  - Flagellar assembly,http://www.genome.jp/kegg-bin/show_pathway?ko02040+K02417,No KGML found,
K03748,No pathway found,
K00239,ko00020  - Citrate cycle (TCA cycle),http://www.genome.jp/kegg-bin/show_pathway?ko00020+K00239,
K00239,ko00190  - Oxidative phosphorylation,http://www.genome.jp/kegg-bin/show_pathway?ko00190+K00239,
K00239,ko00650  - Butanoate metabolism,http://www.genome.jp/kegg-bin/show_pathway?ko00650+K00239,
K00239,ko00720  - Carbon fixation pathways in prokaryotes,http://www.genome.jp/kegg-bin/show_pathway?ko00720+K00239,
K00239,ko01200  - Carbon metabolism,http://www.genome.jp/kegg-bin/show_pathway?ko01200+K00239,No KGML found,
K00239,ko05134  - Legionellosis,http://www.genome.jp/kegg-bin/show_pathway?ko05134+K00239,
K02416,ko02030  - Bacterial chemotaxis,http://www.genome.jp/kegg-bin/show_pathway?ko02030+K02416,No KGML found,
K02416,ko02040  - Flagellar assembly,http://www.genome.jp/kegg-bin/show_pathway?ko02040+K02416,No KGML found,
K03747,No pathway found,
K03746,No pathway found,
K02415,No pathway found,
K02899,ko03010  - Ribosome,http://www.genome.jp/kegg-bin/show_pathway?ko03010+K02899,
