source, target, type, edgetype
ko:K13778 ko:K13777,ko:K11731,ECrel, Relation
ko:K01041,ko:K17832,ECrel, Relation
ko:K13778 ko:K13777,ko:K13779,ECrel, Relation
ko:K00257,ko:K00632,ECrel, Relation
ko:K00257,ko:K01692 ko:K01825 ko:K01782,ECrel, Relation
ko:K00022 ko:K01825 ko:K01782,ko:K01692 ko:K01825 ko:K01782,ECrel, Relation
ko:K00632,ko:K00022 ko:K01825 ko:K01782,ECrel, Relation
ko:K00632,path:ko00280,maplink, Relation
ko:K13774,ko:K13775,ECrel, Relation
ko:K13775,ko:K13774,ECrel, Relation
ko:K13776,ko:K13774,ECrel, Relation
ko:K13776,ko:K13775,ECrel, Relation
ko:K11731,ko:K13776,ECrel, Relation
ko:K13779,ko:K01640,ECrel, Relation
ko:K01640,ko:K00632,ECrel, Relation
cpd:C16471 ,cpd:C03069 ,irreversible, Reaction
cpd:C16469 ,cpd:C16471 ,irreversible, Reaction
cpd:C01920 ,cpd:C01291 ,irreversible, Reaction
cpd:C01291 ,cpd:C04675 ,irreversible, Reaction
cpd:C16470 ,cpd:C16468 ,irreversible, Reaction
cpd:C16468 ,cpd:C16469 ,irreversible, Reaction
cpd:C16464 ,cpd:C01920 ,irreversible, Reaction
cpd:C16461 ,cpd:C16465 ,irreversible, Reaction
cpd:C16466 ,cpd:C16470 ,irreversible, Reaction
cpd:C01499 ,cpd:C16461 ,irreversible, Reaction
cpd:C16462 ,cpd:C16464 ,irreversible, Reaction
cpd:C04675 ,cpd:C16466 ,irreversible, Reaction
ko:K01196,ko:K01203 ko:K01182,ECrel, Relation
ko:K12047 ko:K01178,ko:K01203 ko:K01182,ECrel, Relation
ko:K12047 ko:K01178,ko:K01203 ko:K01182,ECrel, Relation
ko:K01203 ko:K01182,ko:K01203 ko:K01182,ECrel, Relation
ko:K01196 ko:K00705,ko:K01203 ko:K01182,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K01203 ko:K01182,ECrel, Relation
ko:K01196,ko:K12047 ko:K01178,ECrel, Relation
ko:K01196,ko:K12047 ko:K01178,ECrel, Relation
ko:K01196,ko:K01203 ko:K01182,ECrel, Relation
ko:K01196,ko:K01196 ko:K00705,ECrel, Relation
ko:K01196,ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ECrel, Relation
ko:K12047 ko:K01178,ko:K01203 ko:K01182,ECrel, Relation
ko:K12047 ko:K01178,ko:K01196 ko:K00705,ECrel, Relation
ko:K12047 ko:K01178,ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ECrel, Relation
ko:K01196 ko:K00705,ko:K12047 ko:K01178,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K12047 ko:K01178,ECrel, Relation
ko:K01196 ko:K00705,ko:K01203 ko:K01182,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K01203 ko:K01182,ECrel, Relation
ko:K01176 ko:K07405 ko:K05343,ko:K12047 ko:K01178,ECrel, Relation
ko:K01176 ko:K07405 ko:K05343,ko:K01203 ko:K01182,ECrel, Relation
ko:K00700 ko:K16149,ko:K00688 ko:K16153,ECrel, Relation
ko:K00700 ko:K16149,ko:K00688 ko:K16153,ECrel, Relation
ko:K01196,ko:K00688 ko:K16153,ECrel, Relation
ko:K01196,ko:K00688 ko:K16153,ECrel, Relation
ko:K01177,ko:K00688 ko:K16153,ECrel, Relation
ko:K01176 ko:K07405 ko:K05343,ko:K00688 ko:K16153,ECrel, Relation
ko:K01196,ko:K00700 ko:K16149,ECrel, Relation
ko:K01196,ko:K00700 ko:K16149,ECrel, Relation
ko:K00700 ko:K16149,ko:K01177,ECrel, Relation
ko:K00700 ko:K16149,ko:K01176 ko:K07405 ko:K05343,ECrel, Relation
ko:K01196,ko:K01177,ECrel, Relation
ko:K01196,ko:K01176 ko:K07405 ko:K05343,ECrel, Relation
ko:K01177,ko:K01176 ko:K07405 ko:K05343,ECrel, Relation
ko:K01208,ko:K01177,ECrel, Relation
ko:K01194,ko:K00691,ECrel, Relation
ko:K01194,ko:K00702,ECrel, Relation
ko:K05342,ko:K00691,ECrel, Relation
ko:K05342,ko:K00691,ECrel, Relation
ko:K05342,ko:K00702,ECrel, Relation
ko:K00691,ko:K00702,ECrel, Relation
ko:K05342,ko:K01838,ECrel, Relation
ko:K01838,ko:K00691,ECrel, Relation
ko:K01177,ko:K01196 ko:K00705,ECrel, Relation
ko:K01177,ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ECrel, Relation
ko:K00691,ko:K01177,ECrel, Relation
ko:K00691,ko:K01196 ko:K00705,ECrel, Relation
ko:K00691,ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ECrel, Relation
ko:K01232,ko:K02777 ko:K02790 ko:K02791,ECrel, Relation
ko:K01226,ko:K01232,ECrel, Relation
ko:K01087 ko:K16055,ko:K02777 ko:K02817 ko:K02818 ko:K02819,ECrel, Relation
ko:K01232,ko:K01087 ko:K16055,ECrel, Relation
ko:K01087 ko:K16055,ko:K01226,ECrel, Relation
ko:K00697 ko:K16055,ko:K01087 ko:K16055,ECrel, Relation
ko:K01232,ko:K02777 ko:K02817 ko:K02818 ko:K02819,ECrel, Relation
ko:K01226,ko:K02777 ko:K02817 ko:K02818 ko:K02819,ECrel, Relation
ko:K00697 ko:K16055,ko:K02777 ko:K02817 ko:K02818 ko:K02819,ECrel, Relation
ko:K01232,ko:K00697 ko:K16055,ECrel, Relation
ko:K00697 ko:K16055,ko:K01226,ECrel, Relation
ko:K01087 ko:K16055,ko:K01194,ECrel, Relation
ko:K01087 ko:K16055,ko:K05342,ECrel, Relation
ko:K00693 ko:K16150 ko:K16153,ko:K00703 ko:K16148,ECrel, Relation
ko:K00688 ko:K16153,ko:K00703 ko:K16148,ECrel, Relation
ko:K00700 ko:K16149,ko:K00703 ko:K16148,ECrel, Relation
ko:K01196,ko:K00703 ko:K16148,ECrel, Relation
ko:K00693 ko:K16150 ko:K16153,ko:K00688 ko:K16153,ECrel, Relation
ko:K00693 ko:K16150 ko:K16153,ko:K00700 ko:K16149,ECrel, Relation
ko:K00693 ko:K16150 ko:K16153,ko:K01196,ECrel, Relation
ko:K00975,ko:K00703 ko:K16148,ECrel, Relation
ko:K00703 ko:K16148,ko:K18447,ECrel, Relation
ko:K00844,ko:K01810 ko:K06859 ko:K13810 ko:K15916,ECrel, Relation
ko:K00847,ko:K01810 ko:K06859 ko:K13810 ko:K15916,ECrel, Relation
ko:K01835 ko:K15779 ko:K15778,ko:K01810 ko:K06859 ko:K13810 ko:K15916,ECrel, Relation
ko:K01835 ko:K15779 ko:K15778,ko:K12407 ko:K00845,ECrel, Relation
ko:K01835 ko:K15779 ko:K15778,ko:K00844,ECrel, Relation
ko:K01835 ko:K15779 ko:K15778,ko:K01084,ECrel, Relation
ko:K12407 ko:K00845,ko:K01810 ko:K06859 ko:K13810 ko:K15916,ECrel, Relation
ko:K00844,ko:K01810 ko:K06859 ko:K13810 ko:K15916,ECrel, Relation
ko:K01084,ko:K01810 ko:K06859 ko:K13810 ko:K15916,ECrel, Relation
ko:K05344,ko:K01084,ECrel, Relation
ko:K05344,ko:K00844,ECrel, Relation
ko:K05344,ko:K12407 ko:K00845,ECrel, Relation
ko:K01179 ko:K19356 ko:K19357,ko:K00694,ECrel, Relation
ko:K00694,ko:K01225,ECrel, Relation
ko:K01188 ko:K05349 ko:K05350,ko:K01179 ko:K19356 ko:K19357,ECrel, Relation
ko:K01188 ko:K05349 ko:K05350,ko:K01225,ECrel, Relation
ko:K01188 ko:K05349 ko:K05350,ko:K01179 ko:K19356 ko:K19357,ECrel, Relation
ko:K01188 ko:K05349 ko:K05350,ko:K01225,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K01210,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K01188 ko:K05349 ko:K05350,ECrel, Relation
ko:K01193,ko:K01210,ECrel, Relation
ko:K01193,ko:K01188 ko:K05349 ko:K05350,ECrel, Relation
ko:K01203,ko:K01210,ECrel, Relation
ko:K01203,ko:K01188 ko:K05349 ko:K05350,ECrel, Relation
ko:K01188 ko:K05349 ko:K05350,ko:K01210,ECrel, Relation
ko:K01199,ko:K00692,ECrel, Relation
ko:K01199,ko:K00706,ECrel, Relation
ko:K01199,ko:K01210,ECrel, Relation
ko:K00706,ko:K01210,ECrel, Relation
ko:K00692,ko:K01212,ECrel, Relation
ko:K00695,ko:K00689,ECrel, Relation
ko:K00695,ko:K05341,ECrel, Relation
ko:K00695,ko:K00692,ECrel, Relation
ko:K01203,ko:K00695,ECrel, Relation
ko:K01193,ko:K00695,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K00695,ECrel, Relation
ko:K00689,ko:K00692,ECrel, Relation
ko:K01203,ko:K00689,ECrel, Relation
ko:K01193,ko:K00689,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K00689,ECrel, Relation
ko:K05341,ko:K00692,ECrel, Relation
ko:K01203,ko:K05341,ECrel, Relation
ko:K01193,ko:K05341,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K05341,ECrel, Relation
ko:K01203,ko:K00692,ECrel, Relation
ko:K01193,ko:K00692,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K00692,ECrel, Relation
ko:K01193,ko:K02808 ko:K02809 ko:K02810,ECrel, Relation
ko:K02808 ko:K02809 ko:K02810,ko:K00696,ECrel, Relation
ko:K01193,ko:K00696,ECrel, Relation
ko:K01198 ko:K15920,ko:K00770,ECrel, Relation
ko:K00770,ko:K08678,ECrel, Relation
ko:K08678,ko:K08679,ECrel, Relation
ko:K08679,ko:K00699,ECrel, Relation
ko:K08679,ko:K00012,ECrel, Relation
ko:K08678,ko:K00699,ECrel, Relation
ko:K08678,ko:K00012,ECrel, Relation
ko:K00012,ko:K00699,ECrel, Relation
ko:K13648,ko:K01051,ECrel, Relation
ko:K13648,ko:K08679,ECrel, Relation
ko:K01051,ko:K01184,ECrel, Relation
ko:K01051,ko:K01213,ECrel, Relation
ko:K00699,ko:K01195 ko:K14756,ECrel, Relation
ko:K00012,ko:K00697 ko:K16055,ECrel, Relation
ko:K00012,ko:K00693 ko:K16150 ko:K16153,ECrel, Relation
ko:K00012,ko:K00963,ECrel, Relation
ko:K01513,ko:K00012,ECrel, Relation
ko:K00694,ko:K00012,ECrel, Relation
ko:K00706,ko:K00012,ECrel, Relation
ko:K00695,ko:K00012,ECrel, Relation
ko:K00696,ko:K00012,ECrel, Relation
ko:K00697 ko:K16055,ko:K00693 ko:K16150 ko:K16153,ECrel, Relation
ko:K00963,ko:K00697 ko:K16055,ECrel, Relation
ko:K01513,ko:K00697 ko:K16055,ECrel, Relation
ko:K00694,ko:K00697 ko:K16055,ECrel, Relation
ko:K00706,ko:K00697 ko:K16055,ECrel, Relation
ko:K00695,ko:K00697 ko:K16055,ECrel, Relation
ko:K00696,ko:K00697 ko:K16055,ECrel, Relation
ko:K00963,ko:K00693 ko:K16150 ko:K16153,ECrel, Relation
ko:K01513,ko:K00693 ko:K16150 ko:K16153,ECrel, Relation
ko:K00694,ko:K00693 ko:K16150 ko:K16153,ECrel, Relation
ko:K00706,ko:K00693 ko:K16150 ko:K16153,ECrel, Relation
ko:K00695,ko:K00693 ko:K16150 ko:K16153,ECrel, Relation
ko:K00696,ko:K00693 ko:K16150 ko:K16153,ECrel, Relation
ko:K00694,ko:K00963,ECrel, Relation
ko:K00706,ko:K00963,ECrel, Relation
ko:K00695,ko:K00963,ECrel, Relation
ko:K00696,ko:K00963,ECrel, Relation
ko:K00694,ko:K01513,ECrel, Relation
ko:K00706,ko:K01513,ECrel, Relation
ko:K00695,ko:K01513,ECrel, Relation
ko:K00696,ko:K01513,ECrel, Relation
ko:K00706,ko:K00694,ECrel, Relation
ko:K00695,ko:K00694,ECrel, Relation
ko:K00694,ko:K00696,ECrel, Relation
ko:K00695,ko:K00706,ECrel, Relation
ko:K00706,ko:K00696,ECrel, Relation
ko:K00695,ko:K00696,ECrel, Relation
ko:K00963,ko:K00690,ECrel, Relation
ko:K00963,ko:K00975,ECrel, Relation
ko:K00963,ko:K18447,ECrel, Relation
ko:K00963,ko:K00688 ko:K16153,ECrel, Relation
ko:K00963,ko:K00702,ECrel, Relation
ko:K00963,ko:K01835 ko:K15779 ko:K15778,ECrel, Relation
ko:K11809,ko:K00963,ECrel, Relation
ko:K05344,ko:K00963,ECrel, Relation
ko:K00978,ko:K00963,ECrel, Relation
ko:K00975,ko:K00690,ECrel, Relation
ko:K00690,ko:K18447,ECrel, Relation
ko:K00688 ko:K16153,ko:K00690,ECrel, Relation
ko:K00702,ko:K00690,ECrel, Relation
ko:K01835 ko:K15779 ko:K15778,ko:K00690,ECrel, Relation
ko:K11809,ko:K00690,ECrel, Relation
ko:K05344,ko:K00690,ECrel, Relation
ko:K00978,ko:K00690,ECrel, Relation
ko:K01513,ko:K00690,ECrel, Relation
ko:K00975,ko:K00688 ko:K16153,ECrel, Relation
ko:K00975,ko:K00702,ECrel, Relation
ko:K00975,ko:K01835 ko:K15779 ko:K15778,ECrel, Relation
ko:K11809,ko:K00975,ECrel, Relation
ko:K05344,ko:K00975,ECrel, Relation
ko:K00978,ko:K00975,ECrel, Relation
ko:K01513,ko:K00975,ECrel, Relation
ko:K00688 ko:K16153,ko:K18447,ECrel, Relation
ko:K00702,ko:K18447,ECrel, Relation
ko:K01835 ko:K15779 ko:K15778,ko:K18447,ECrel, Relation
ko:K11809,ko:K18447,ECrel, Relation
ko:K05344,ko:K18447,ECrel, Relation
ko:K00978,ko:K18447,ECrel, Relation
ko:K01513,ko:K18447,ECrel, Relation
ko:K00688 ko:K16153,ko:K00702,ECrel, Relation
ko:K01835 ko:K15779 ko:K15778,ko:K00688 ko:K16153,ECrel, Relation
ko:K11809,ko:K00688 ko:K16153,ECrel, Relation
ko:K05344,ko:K00688 ko:K16153,ECrel, Relation
ko:K00978,ko:K00688 ko:K16153,ECrel, Relation
ko:K01513,ko:K00688 ko:K16153,ECrel, Relation
ko:K01835 ko:K15779 ko:K15778,ko:K00702,ECrel, Relation
ko:K11809,ko:K00702,ECrel, Relation
ko:K05344,ko:K00702,ECrel, Relation
ko:K00978,ko:K00702,ECrel, Relation
ko:K01513,ko:K00702,ECrel, Relation
ko:K11809,ko:K01835 ko:K15779 ko:K15778,ECrel, Relation
ko:K05344,ko:K01835 ko:K15779 ko:K15778,ECrel, Relation
ko:K00978,ko:K01835 ko:K15779 ko:K15778,ECrel, Relation
ko:K01513,ko:K01835 ko:K15779 ko:K15778,ECrel, Relation
ko:K00978,ko:K11809,ECrel, Relation
ko:K01513,ko:K11809,ECrel, Relation
ko:K00978,ko:K05344,ECrel, Relation
ko:K01513,ko:K05344,ECrel, Relation
ko:K01513,ko:K00978,ECrel, Relation
ko:K01198 ko:K15920,path:ko00040,maplink, Relation
ko:K01184,path:ko00053,maplink, Relation
ko:K01213,path:ko00053,maplink, Relation
ko:K01195 ko:K14756,path:ko00053,maplink, Relation
ko:K00699,path:ko00830,maplink, Relation
ko:K01195 ko:K14756,path:ko00830,maplink, Relation
ko:K00963,path:ko00010,maplink, Relation
ko:K00690,path:ko00010,maplink, Relation
ko:K00975,path:ko00010,maplink, Relation
ko:K18447,path:ko00010,maplink, Relation
ko:K00688 ko:K16153,path:ko00010,maplink, Relation
ko:K00702,path:ko00010,maplink, Relation
ko:K01835 ko:K15779 ko:K15778,path:ko00010,maplink, Relation
ko:K11809,path:ko00010,maplink, Relation
ko:K05344,path:ko00010,maplink, Relation
ko:K00978,path:ko00010,maplink, Relation
ko:K01513,path:ko00010,maplink, Relation
ko:K13648,path:ko00520,maplink, Relation
path:ko00520,ko:K08679,maplink, Relation
path:ko00520,ko:K00978,maplink, Relation
ko:K01193,ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ECrel, Relation
ko:K01193,ko:K01203,ECrel, Relation
ko:K01193,ko:K00847,ECrel, Relation
ko:K01193,ko:K00844,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K00847,ECrel, Relation
ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ko:K00844,ECrel, Relation
ko:K01193,ko:K00847,ECrel, Relation
ko:K01193,ko:K00844,ECrel, Relation
ko:K01203,ko:K00847,ECrel, Relation
ko:K01203,ko:K00844,ECrel, Relation
ko:K00692,ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ECrel, Relation
ko:K00692,ko:K01193,ECrel, Relation
ko:K00692,ko:K01203,ECrel, Relation
ko:K00692,ko:K00692,ECrel, Relation
ko:K00692,ko:K05341,ECrel, Relation
ko:K00692,ko:K00689,ECrel, Relation
ko:K00692,ko:K00695,ECrel, Relation
ko:K01087 ko:K16055,ko:K05343,ECrel, Relation
ko:K05343,ko:K05342,ECrel, Relation
ko:K05343,ko:K01194,ECrel, Relation
ko:K05343,ko:K00691,ECrel, Relation
ko:K05343,ko:K16146,ECrel, Relation
ko:K05343,ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ECrel, Relation
ko:K05343,ko:K01196 ko:K00705,ECrel, Relation
ko:K05343,ko:K01177,ECrel, Relation
ko:K00691,ko:K16146,ECrel, Relation
ko:K16146,ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ECrel, Relation
ko:K16146,ko:K01196 ko:K00705,ECrel, Relation
ko:K16146,ko:K01177,ECrel, Relation
ko:K16147,ko:K16146,ECrel, Relation
ko:K16147,ko:K01196,ECrel, Relation
ko:K16147,ko:K00700 ko:K16149,ECrel, Relation
ko:K16147,ko:K00688 ko:K16153,ECrel, Relation
ko:K16147,ko:K00703 ko:K16148,ECrel, Relation
ko:K16147,ko:K00693 ko:K16150 ko:K16153,ECrel, Relation
ko:K13057,ko:K02438 ko:K06044 ko:K01236,ECrel, Relation
ko:K13057,ko:K01087 ko:K16055,ECrel, Relation
ko:K13057,ko:K05342,ECrel, Relation
ko:K13057,ko:K01194,ECrel, Relation
ko:K13057,ko:K05343,ECrel, Relation
ko:K02438 ko:K06044 ko:K01236,ko:K01087 ko:K16055,ECrel, Relation
ko:K02438 ko:K06044 ko:K01236,ko:K05342,ECrel, Relation
ko:K02438 ko:K06044 ko:K01236,ko:K01194,ECrel, Relation
ko:K02438 ko:K06044 ko:K01236,ko:K05343,ECrel, Relation
ko:K00975,ko:K18447,ECrel, Relation
ko:K00975,ko:K13057,ECrel, Relation
ko:K18447,ko:K13057,ECrel, Relation
ko:K00703 ko:K16148,ko:K13057,ECrel, Relation
ko:K01194,ko:K13057,ECrel, Relation
ko:K05342,ko:K13057,ECrel, Relation
ko:K00691,ko:K13057,ECrel, Relation
ko:K00702,ko:K13057,ECrel, Relation
ko:K06896,ko:K05343,ECrel, Relation
ko:K06896,ko:K00691,ECrel, Relation
ko:K06896,ko:K16146,ECrel, Relation
ko:K06896,ko:K12047 ko:K01187 ko:K12316 ko:K12317 ko:K15922,ECrel, Relation
ko:K06896,ko:K01196 ko:K00705,ECrel, Relation
ko:K06896,ko:K01177,ECrel, Relation
ko:K01232,ko:K06896,ECrel, Relation
ko:K02777 ko:K02790 ko:K02791,ko:K06896,ECrel, Relation
ko:K18775,ko:K00692,ECrel, Relation
cpd:C00760 ,cpd:C00221 ,irreversible, Reaction
cpd:C00185 ,cpd:C00221 ,irreversible, Reaction
cpd:C02336 ,cpd:C05345 ,reversible, Reaction
cpd:C00689 ,cpd:C00092 ,reversible, Reaction
cpd:C02352 ,cpd:C00181 ,irreversible, Reaction
cpd:C16688 ,cpd:C00668 cpd:C02336 ,reversible, Reaction
cpd:C02336 ,cpd:C05345 ,reversible, Reaction
cpd:C00089 ,cpd:C00267 cpd:C02336 ,irreversible, Reaction
cpd:C00089 ,cpd:C00267 cpd:C02336 ,irreversible, Reaction
cpd:C00089 ,cpd:C00267 cpd:C02336 ,irreversible, Reaction
cpd:C01798 ,cpd:C00267 ,irreversible, Reaction
cpd:C00965 ,cpd:C00031 ,irreversible, Reaction
cpd:C00760 ,cpd:C00760 cpd:C00185 ,irreversible, Reaction
cpd:C00190 ,cpd:C02352 ,irreversible, Reaction
cpd:C00167 ,cpd:C00190 ,irreversible, Reaction
cpd:C00089 ,cpd:C16688 ,irreversible, Reaction
cpd:C00029 ,cpd:C00089 ,irreversible, Reaction
cpd:C00029 ,cpd:C00965 ,irreversible, Reaction
cpd:C00029 ,cpd:C00760 ,irreversible, Reaction
cpd:C00029 ,cpd:C02591 ,irreversible, Reaction
cpd:C00029 ,cpd:C00103 ,irreversible, Reaction
cpd:C00103 ,cpd:C00501 ,reversible, Reaction
cpd:C00103 ,cpd:C00267 cpd:C01231 ,irreversible, Reaction
cpd:C00103 ,cpd:C01231 ,irreversible, Reaction
cpd:C00617 ,cpd:C00714 ,irreversible, Reaction
cpd:C00167 ,cpd:C00617 ,reversible, Reaction
cpd:C00029 ,cpd:C00167 ,irreversible, Reaction
cpd:C00103 ,cpd:C00029 ,irreversible, Reaction
cpd:C00714 ,cpd:C00470 ,irreversible, Reaction
cpd:C00167 ,cpd:C03033 ,irreversible, Reaction
cpd:C03033 ,cpd:C00191 ,irreversible, Reaction
cpd:C00029 ,cpd:C00689 ,irreversible, Reaction
cpd:C00029 ,cpd:C00718 ,irreversible, Reaction
cpd:C00103 ,cpd:C00498 ,irreversible, Reaction
cpd:C00103 ,cpd:C00668 ,reversible, Reaction
cpd:C00668 ,cpd:C00267 ,reversible, Reaction
cpd:C00267 ,cpd:C00668 ,reversible, Reaction
cpd:C00267 ,cpd:C00668 ,irreversible, Reaction
cpd:C00668 ,cpd:C05345 ,reversible, Reaction
cpd:C00369 ,cpd:C00718 cpd:C00267 ,reversible, Reaction
cpd:C00718 ,cpd:C00369 ,irreversible, Reaction
cpd:C00689 ,cpd:C01083 ,irreversible, Reaction
cpd:C00973 ,cpd:C01935 ,irreversible, Reaction
cpd:C01083 ,cpd:C00031 ,irreversible, Reaction
cpd:C01083 ,cpd:C00663 cpd:C00031 ,irreversible, Reaction
cpd:C00689 ,cpd:C00092 ,irreversible, Reaction
cpd:C00663 ,cpd:C01172 ,reversible, Reaction
cpd:C02995 ,cpd:C00092 ,reversible, Reaction
cpd:C00208 ,cpd:C00663 cpd:C00031 ,irreversible, Reaction
cpd:C00369 ,cpd:C00208 cpd:C01935 ,irreversible, Reaction
cpd:C00369 ,cpd:C00721 ,irreversible, Reaction
cpd:C00369 ,cpd:C00267 ,irreversible, Reaction
cpd:C00208 ,cpd:C00267 ,irreversible, Reaction
cpd:C00470 ,cpd:C00333 ,irreversible, Reaction
cpd:C00470 ,cpd:C00333 ,irreversible, Reaction
cpd:C00369 ,cpd:C00103 cpd:C00718 ,irreversible, Reaction
cpd:C00267 ,cpd:C00208 ,irreversible, Reaction
cpd:C00089 ,cpd:C00095 ,irreversible, Reaction
cpd:C00089 ,cpd:C00095 ,irreversible, Reaction
cpd:C00089 ,cpd:C00031 ,irreversible, Reaction
cpd:C00498 ,cpd:C00718 ,irreversible, Reaction
cpd:C00185 ,cpd:C00103 cpd:C00031 ,reversible, Reaction
cpd:C00760 ,cpd:C00760 cpd:C00185 ,irreversible, Reaction
cpd:C00965 ,cpd:C00267 ,irreversible, Reaction
cpd:C06215 ,cpd:C00089 ,reversible, Reaction
cpd:C06215 ,cpd:C06215 ,reversible, Reaction
cpd:C00089 ,cpd:C00103 cpd:C00095 ,reversible, Reaction
cpd:C00498 ,cpd:C00103 ,irreversible, Reaction
cpd:C00721 ,cpd:C00267 ,irreversible, Reaction
cpd:C00721 ,cpd:C00267 ,irreversible, Reaction
cpd:C00252 ,cpd:C00267 ,irreversible, Reaction
cpd:C01083 ,cpd:C00689 ,irreversible, Reaction
cpd:C00208 ,cpd:C02995 ,irreversible, Reaction
cpd:C00208 ,cpd:C01083 ,reversible, Reaction
cpd:C00208 ,cpd:C20237 ,irreversible, Reaction
cpd:C20237 ,cpd:C00718 ,irreversible, Reaction
cpd:C00369 ,cpd:C01083 ,irreversible, Reaction
cpd:C00498 cpd:C00031 ,cpd:C01083 ,irreversible, Reaction
cpd:C02995 ,cpd:C00208 ,irreversible, Reaction
cpd:C06215 ,cpd:C06215 ,irreversible, Reaction
ko:K05251 ko:K08522,ko:K04249,PPrel, Relation
ko:K04249,ko:K04632,PPrel, Relation
ko:K04632,ko:K08041 ko:K08042 ko:K08043 ko:K08044 ko:K08045 ko:K08046 ko:K08047 ko:K08048 ko:K08049,PPrel, Relation
ko:K08041 ko:K08042 ko:K08043 ko:K08044 ko:K08045 ko:K08046 ko:K08047 ko:K08048 ko:K08049,cpd:C00575,PCrel, Relation
cpd:C00575,ko:K04345,PCrel, Relation
ko:K04345,ko:K15225,PPrel, Relation
ko:K04345,ko:K15173,PPrel, Relation
ko:K04345,ko:K09293,PPrel, Relation
ko:K04345,ko:K05870 ko:K04450 ko:K04374 ko:K09048 ko:K09047 ko:K09049,PPrel, Relation
ko:K04249,ko:K04634,PPrel, Relation
ko:K04634,ko:K05858,PPrel, Relation
ko:K05858,cpd:C00165,PCrel, Relation
cpd:C00165,ko:K02677,PCrel, Relation
ko:K02677,ko:K15225,PPrel, Relation
ko:K02677,ko:K15173,PPrel, Relation
ko:K02677,ko:K09293,PPrel, Relation
ko:K02677,ko:K05870 ko:K04450 ko:K04374 ko:K09048 ko:K09047 ko:K09049,PPrel, Relation
ko:K05858,cpd:C01245,PCrel, Relation
cpd:C01245,ko:K04958 ko:K04959 ko:K04960,PCrel, Relation
ko:K15225,ko:K10809,GErel, Relation
ko:K15173,ko:K10809,GErel, Relation
ko:K09293,ko:K10809,GErel, Relation
ko:K05870 ko:K04450 ko:K04374 ko:K09048 ko:K09047 ko:K09049,ko:K10809,GErel, Relation
ko:K10063 ko:K10064,ko:K10809,PPrel, Relation
cpd:C02515,ko:K10809,PCrel, Relation
cpd:C01060,ko:K10809,PCrel, Relation
cpd:C02515,ko:K10809,PCrel, Relation
cpd:C01060,ko:K10809,PCrel, Relation
cpd:C02465,ko:K10809,PCrel, Relation
cpd:C01829,ko:K10809,PCrel, Relation
cpd:C02515,ko:K10809,PCrel, Relation
cpd:C01060,ko:K10809,PCrel, Relation
cpd:C02465,ko:K10809,PCrel, Relation
cpd:C01829,ko:K10809,PCrel, Relation
ko:K06233,ko:K10809,PPrel, Relation
ko:K00141,ko:K00055,ECrel, Relation
ko:K15766 ko:K15767,ko:K03381,ECrel, Relation
ko:K01856,ko:K03381,ECrel, Relation
ko:K00492,ko:K15766 ko:K15767,ECrel, Relation
ko:K00492,ko:K05797,ECrel, Relation
ko:K00141,ko:K05797,ECrel, Relation
ko:K03268 ko:K16268 ko:K18089 ko:K18090,ko:K16269,ECrel, Relation
ko:K00141,path:ko00362,maplink, Relation
ko:K07549 ko:K07550,path:ko00362,maplink, Relation
ko:K07549 ko:K07550,ko:K07543 ko:K07544,ECrel, Relation
ko:K07547 ko:K07548,ko:K07549 ko:K07550,ECrel, Relation
ko:K07546,ko:K07547 ko:K07548,ECrel, Relation
ko:K07545,ko:K07546,ECrel, Relation
ko:K07543 ko:K07544,ko:K07545,ECrel, Relation
ko:K07540,ko:K07543 ko:K07544,ECrel, Relation
ko:K07540,ko:K03268 ko:K16268 ko:K18089 ko:K18090,ECrel, Relation
ko:K00141,path:ko00362,maplink, Relation
ko:K00141,path:ko00362,maplink, Relation
ko:K15768 ko:K15769,ko:K15766 ko:K15767,ECrel, Relation
